Ürün,Üretim,EkildiğiAy,TohumFiyatı,Bölge,ÜretimSüresi,SatışFiyatı,EkilenAlan,DestekParası,sonuç,binarySonuc,durum
Havuç,663882,Mart,2.9,İç Anadolu,Kısa Süre,3.0,1257720.0,0,-212.9,0,Zarar
Börülce,1392,Mart,7.9,Marmara,Kısa Süre,7.0,13084.0,0,-522.9,0,Zarar
Bakla,12346,Eylül,14.99,İç Anadolu,Kısa Süre,5.0,43316.0,0,-1664.96,0,Zarar
Fasulye,220000,Mayıs,14.9,Ege,Kısa Süre,12.0,848045.0,0,-1000.9,0,Zarar
Karnabahar,225151,Haziran,19.9,Ege,Kısa Süre,2.0,888230.0,0,-2650.9,0,Zarar
Brokoli,69592,Mayıs,4.4,Akdeniz,Uzun Süre,2.0,379500.0,0,-658.2,0,Zarar
Lahana,516951,Mart,3.8,Doğu Anadolu,Uzun Süre,3.0,1324940.0,0,-457.8,0,Zarar
Lahana,187948,Eylül,9.9,İç Anadolu,Uzun Süre,3.0,511900.0,0,-1255.2,0,Zarar
Lahana,57034,Haziran,7.9,Doğu Anadolu,Uzun Süre,4.0,497520.0,0,-867.2,0,Zarar
Lahana,3343,Mayıs,2.98,Doğu Anadolu,Uzun Süre,3.5,19270.0,0,-357.92,0,Zarar
Marul,198491,Mart,9.9,Ege,Kısa Süre,2.0,924370.0,0,-1390.9,0,Zarar
Marul,215728,Eylül,7.9,Marmara,Kısa Süre,3.0,937840.0,0,-1002.9,0,Zarar
Marul,85547,Haziran,3.49,İç Anadolu,Uzun Süre,2.5,283980.0,0,-486.26,0,Zarar
Enginar,39477,Mart,7.5,Ege,Uzun Süre,7.0,295740.0,0,-533.6,0,Zarar
Kereviz,2179,Mart,4.5,Ege,Kısa Süre,3.0,11450.0,0,-487.3,0,Zarar
Pazı,9631,Mart,3.49,Ege,Kısa Süre,2.0,62780.0,0,-331.96,0,Zarar
Semizotu,4382,Mart,3.49,Marmara,Kısa Süre,2.0,25130.0,0,-491.96,0,Zarar
Maydanoz,78961,Nisan,3.49,Marmara,Kısa Süre,1.0,642680.0,0,-459.96,0,Zarar
Roka,12930,Mart,3.4,Ege,Kısa Süre,2.0,103810.0,0,-347.9,0,Zarar
Tere,6517,Mart,3.5,İç Anadolu,Kısa Süre,2.0,65560.0,0,-361.3,0,Zarar
Nane,14511,Mart,9.9,Marmara,Kısa Süre,1.0,101340.0,0,-1318.9,0,Zarar
Dereotu,8318,Mart,14.5,Ege,Kısa Süre,2.0,85730.0,0,-1835.3,0,Zarar
Kuşkonmaz,169,Mart,9.9,Güneydoğu Anadolu,Uzun Süre,4.0,488.0,0,-1055.2,0,Zarar
Armut,519451,Kasım,5.0,Ege,Uzun Süre,4.8,11485.0,0,-458.6,0,Zarar
Ayva,176479,Eylül,5.9,İç Anadolu,Uzun Süre,3.8,3384.0,0,-659.2,0,Zarar
Elma,3625960,Kasım,16.0,İç Anadolu,Uzun Süre,5.0,61288.0,0,-1872.6,0,Zarar
Yenidünya,15984,Kasım,7.05,Akdeniz,Uzun Süre,5.0,263.0,0,-689.3,0,Zarar
